conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1833386362407686640,Tue Sep 10 23:27:19 +0000 2024,0,@aldibawazier_ setuju naturalisasi jangan hanya pemain sepak bola. dari presiden wapres menteri sampe kepala desa sebaiknya naturalisasi aja krn mereka lebih baik membawa indonesia emas 2045 ,1833648479400595498,,aldibawazier_,in,,0,0,0,https://x.com/AkunanSaya/status/1833648479400595498,1425023300023984134,AkunanSaya
1833644646221943005,Tue Sep 10 23:12:05 +0000 2024,0,Performa 10 Pemain Naturalisasi saat Timnas Indonesia Imbangi Australia: Maarten Paes dan Calvin Verdonk Tangguh Nathan Tjoe A-On Bisa Yuk! https://t.co/9RAlOtRMdy,1833644646221943005,,,in,Indonesia,0,0,0,https://x.com/bolacomID/status/1833644646221943005,1486284086,bolacomID
1833627276950573238,Tue Sep 10 22:03:04 +0000 2024,39,Ini Dia Cara Indonesia BIKIN FRUSTRASI Australia! | Box2Box Football Show #8 https://t.co/XysgvG2M0s - Pemain andalan Shin Tae-yong itu-itu aja ? - Masalah rumput GBK yang berulan - Pertahanan rapat Timnas Indonesia dan peran Maarten Paes - Lagi-lagi debat soal naturalisasi vs https://t.co/IaUyDNqVKX,1833627276950573238,https://pbs.twimg.com/media/GXJaSR_bEAAtunm.jpg,,in,Indonesia,1,6,9,https://x.com/Box2BoxBola/status/1833627276950573238,1956656786,Box2BoxBola
1833612133290168532,Tue Sep 10 21:02:54 +0000 2024,0,Dear @PSSI Tanpa Naturalisasi 🇮🇩 tidak akan sampai di ronde 4. Naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di Indonesia siapa lagi kalau bukan PSSI. Silahkan sambil berbenah juga! Atau bikin program perkawinan gratis lokal dan Eropa supaya anaknya,1833612133290168532,,,in,,0,1,0,https://x.com/mekanasirah/status/1833612133290168532,1655265184238403585,mekanasirah
1833436369051652206,Tue Sep 10 20:36:13 +0000 2024,0,@Box2boxID @Box2BoxBola Bangga sama pemain naturalisasi? Tutup saja liga sepak bola di Indonesia.,1833605420453437731,,Box2boxID,in,,0,0,0,https://x.com/jayusman92/status/1833605420453437731,1257887251616301060,jayusman92
1833166193274040789,Tue Sep 10 19:23:21 +0000 2024,0,@Tokopaediii @Okleantos @_BangFu ya ini salah satunya grasroot tapi apa instan? ya engga proses nya pasti lama kenapa langkah naturalisasi yg diambil? karna hasilnya instan pecinta bola indonesia kan pengen menang nya sekarang bukan nunggu 20/30 tahun lagi jadi harus sesuai sama kebutuhan nya balik lg,1833587082260058289,,Tokopaediii,in,Monaco,0,0,0,https://x.com/zildgeean/status/1833587082260058289,730811030,zildgeean
1833552285118697984,Tue Sep 10 17:05:05 +0000 2024,1,Lil... @cholilnafis mau tanya nih... Iseng2 aja knp pemain2 sepak bola naturalisasi diambilnya dari negara kapir yg bekas penjajah pula dimana sekte be'olwi benci bgt sampe klaim semua pahlawan Indonesia tuh dari sekte mereka! Knp bukan turunan dari jazirah Arab sana ya? ,1833552285118697984,,,in,Kandahar,0,0,0,https://x.com/Rizieq_Sangean/status/1833552285118697984,172158648,Rizieq_Sangean
1833436278970585300,Tue Sep 10 16:59:29 +0000 2024,4,@panjiraden Masalahnya bukan pemain naturalisasinya. Tp ya indonesia atau federasi gagal menciptakan atau develop pemain bagus. Australia contohnya kebanyakan naturalisasi tp ya mereka tumbuh bermain bola di Australia. Artinya federasinya sukses menciptakan environment sepakbola yang baik,1833550877589967026,,panjiraden,in,Indonesia,0,1,1,https://x.com/Adriaankun/status/1833550877589967026,65637484,Adriaankun
1833500536387342751,Tue Sep 10 13:39:27 +0000 2024,0,Nonton bola. Pemain Indonesia naturalisasi semua Kerajaan dan kerjaan E.T semprul,1833500536387342751,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/mhmfikri/status/1833500536387342751,255536573,mhmfikri
1833386362407686640,Tue Sep 10 10:54:54 +0000 2024,1,@aldibawazier_ Tidak. Andai saja Indonesia menganut sistem paspor bisa ganda maka tdk akan ada istilah naturalisasi untuk diaspora. Suruh mereka memaknai arti naturalisasi spy paham ?,1833459126292386042,,aldibawazier_,in,,0,0,0,https://x.com/Nandang32613279/status/1833459126292386042,979417406123601920,Nandang32613279
1833454547055878527,Tue Sep 10 10:38:07 +0000 2024,2,@_BangFu Karena rasanya ga mungkin kalau kita puluhan tahun tiap hari nyari pemain bola di luar negeri sana yang keturunan Indonesia atau nyari naturalisasi. Kalo ga ketemu? Yak betul ekspektasi penonton udah kelewat tinggi karena performance yang jangka pendek ini terbilang bagus banget.,1833454903911715126,,ramotgun,in,"Jakarta , Indonesia",0,1,0,https://x.com/ramotgun/status/1833454903911715126,57320702,ramotgun
1833408866262127070,Tue Sep 10 07:35:11 +0000 2024,1,Perbedaan Daftar Pemain Timnas Indonesia Saat Jumpa Australia di Piala Asia 2023 dan Sekarang: 6 Pemain Naturalisasi Baru https://t.co/gQZqjDqFOv,1833408866262127070,,,in,,0,0,0,https://x.com/Bolanet/status/1833408866262127070,85537477,Bolanet
1833124597681840608,Tue Sep 10 07:02:41 +0000 2024,0,@kurawa @jokowi @prabowo Jilatin sampe tai2nya rud. Sepak bola indonesia enak ditonton krn hampir semua pemain naturalisasi,1833400687537099208,,kurawa,in,,0,0,0,https://x.com/PikiranRayap/status/1833400687537099208,1745117893631852544,PikiranRayap
1833166193274040789,Tue Sep 10 05:37:08 +0000 2024,0,@iyooch @rpratamaaa10 @jagerbombbbbb @_BangFu Biar bisa aboard kan harus dari kecil di bina kan ya perlu liga berjenjang kan? Ga tiba tiba langsung suruh aboard aja ada prosesnya timnas doang yang bagus tapi sepak bola Indonesia keseluruhan belum masalahnya yg pada kritik federasi langsung di polarisasi anti naturalisasi,1833379157545521641,,iyooch,in,,0,2,0,https://x.com/SP27488/status/1833379157545521641,1713799140772356096,SP27488
1833364053831651662,Tue Sep 10 05:30:29 +0000 2024,9,@indosupporter Pak ingat pak sepak bola kita ini ketolong Ama naturalisasi pak. Keren gimana liga cuma satu gak ada Copa Indonesia liga wanita gak jalan terus pembenahan usia dini gak jelas arahnya..,1833377483665904071,,indosupporter,in,Nusantara,0,1,0,https://x.com/K_Zarathusastra/status/1833377483665904071,2417340300,K_Zarathusastra
1833317115916652710,Tue Sep 10 01:30:36 +0000 2024,0,Dulu hasil bumi Nusantara diambilin kolonial Belanda sekarang gantian Indonesia naturalisasi pemain sepak bola muda potensial keturunan dari sana.,1833317115916652710,,,in,Indonesia,0,0,0,https://x.com/anggakuz/status/1833317115916652710,60047054,anggakuz
1832994447547867217,Mon Sep 09 23:10:00 +0000 2024,21,@nocontextbolamy sudahlah saudaraku sesama muslim kenapa gara-gara bola kita jadi berantem sih gabaik lohh kalo Indonesia pakai pemain keturunan kenapa emang ya mereka berhak bela Indonesia sebaliknya juga kalo pemain Malaysia ada yg naturalisasi tapi g ad darah Malaysia mereka juga ada hak,1833281732638085315,,nocontextbolamy,in,,0,1,0,https://x.com/SardenKuahhh/status/1833281732638085315,1543584993326223360,SardenKuahhh
1833275495468961923,Mon Sep 09 22:45:13 +0000 2024,0,Indonesia naturalisasi bule buat main bola. Prancis naturalisasi pemain Afrika Australia juga....,1833275495468961923,,,in,NKRI,0,0,0,https://x.com/Zulfan_Hakim/status/1833275495468961923,103752813,Zulfan_Hakim
1832065077413081148,Mon Sep 09 22:23:10 +0000 2024,0,@erickthohir @PSSI Nanti setelah Naturalisasi genap mulai dari pemain inti dan cadangan giliran pssi naturalisasi wasit untuk mewakili indonesia di kancah sepak bola internasional saudara saudara,1833269948887810492,,erickthohir,in,,0,0,0,https://x.com/Madara_26/status/1833269948887810492,1749449966635077632,Madara_26
1832587725620572320,Mon Sep 09 15:54:20 +0000 2024,0,@pray_thekid Klo emng lokal sebanding sih sedih! Tpi kenyataanya memang yg lokal blum bsa sbanding.. Dengan carut marutnya kegaduhan liga sepak bola kita.. Full naturalisasi sprti ini dan membawa nama indonesia sih jadi Bangga!,1833172093254639816,,pray_thekid,in,"Jogjakarta, Indonesia",0,0,0,https://x.com/heimetz/status/1833172093254639816,88419261,heimetz
1833163117456658553,Mon Sep 09 15:18:40 +0000 2024,0,Berhubung pemain lokal masih suka menguasai bola sendirian mending pakai yg naturalisasi aja yg penting bawa nama Indonesia ,1833163117456658553,,,in,Earth,0,0,0,https://x.com/karakterkeenam/status/1833163117456658553,621956430,karakterkeenam
1833148395634188448,Mon Sep 09 14:20:10 +0000 2024,0,Ada yang tau berapa nilai biaya yang dibutuhkan untuk proyek naturalisasi dan pembenahan prestasi sepakbola Indonesia? anak bola harusnya tau hehe,1833148395634188448,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/mecomuhammad/status/1833148395634188448,43863522,mecomuhammad
1833124597681840608,Mon Sep 09 13:57:22 +0000 2024,21,@kurawa @jokowi @prabowo Wakakakak si pelacur medsos bahas bola lagi. Pembinaan Liga Indonesia gimana kabarnya cur?Sepakbola Indonesia ketolong oleh pemain naturalisasi yg notabene tak ada yg main di liga lokal (Indonesia). Ngejilat gak gini2 juga cur. Pelacur politik sok bahas bola ,1833142659768266936,,kurawa,in,,0,3,2,https://x.com/Amotsky/status/1833142659768266936,217651975,Amotsky
1833131770482749715,Mon Sep 09 13:14:06 +0000 2024,1,Timnas Indonesia berpeluang menurunkan starting XI dengan 100 persen pemain naturalisasi. https://t.co/qmJceHqqnE #Update,1833131770482749715,,,in,,0,0,0,https://x.com/Bolanet/status/1833131770482749715,85537477,Bolanet
1833126991601844224,Mon Sep 09 12:55:39 +0000 2024,2,Pengamat sepak bola Firzie Idris menilai perdebatan lineup skuad tidak perlu berlarut-larut karena merupakan praktik biasa di dalam sepak bola terlebih naturalisasi di tubuh Timnas Indonesia merupakan diaspora yang berdarah Indonesia dan memiliki kedekatan. https://t.co/NM7jxiJwlz,1833127127581069760,https://pbs.twimg.com/media/GXCTZGabIAAJ0UO.jpg,dw_indonesia,in,"Bonn, Jerman",0,3,0,https://x.com/dw_indonesia/status/1833127127581069760,150581612,dw_indonesia
1833083098323677406,Mon Sep 09 10:00:42 +0000 2024,0,Kiper naturalisasi Timnas Indonesia Maarten Paes mengaku tak sabar merasakan atmosfer Stadion Utama Gelora Bung Karno (SUGBK) Selengkapnya https://t.co/AK9bc18Llk,1833083098323677406,,,in,Indonesia,0,0,0,https://x.com/BolaSportcom/status/1833083098323677406,78239324,BolaSportcom
1833062580988096839,Mon Sep 09 08:39:10 +0000 2024,3,Timnas Indonesia kembali bakal mendapat tambahan amunisi. Dua pemain diaspora Mees Hilgers dan Eliano Reijnders telah dipastikan bakal menjalani proses naturalisasi untuk bisa bergabung dengan Skuad Garuda julukan Timnas Indonesia. https://t.co/frfo8XpktI #Update,1833062580988096839,,,in,,0,0,0,https://x.com/Bolanet/status/1833062580988096839,85537477,Bolanet
1833058031372050769,Mon Sep 09 08:21:05 +0000 2024,4,Starting XI Timnas Indonesia dengan 100 Persen Pemain Naturalisasi: Optimis Tembus Piala Dunia 2026? https://t.co/cg0TOY6mK1,1833058031372050769,,,in,,0,0,0,https://x.com/Bolanet/status/1833058031372050769,85537477,Bolanet
1833016421917552836,Mon Sep 09 05:35:45 +0000 2024,2,Pantesan Semangat Bela Timnas Indonesia! Beginilah Silsilah Keluarga Pemain Sepak Bola Naturalisasi Untuk Negara Salah Satunya Rafael Struick https://t.co/ql56W7L0qc,1833016421917552836,,,in,"Sumatera Utara, Indonesia",0,0,0,https://x.com/RedaksiT648/status/1833016421917552836,1803971049027248129,RedaksiT648
1832744990901981387,Mon Sep 09 05:30:27 +0000 2024,0,@erickthohir Naturalisasi Indonesia terbukti berhasil saya usul agar PSSI buat program perkawinan silang pria indo dengan wanita dari Eropa Rusia Turki korea dan jepang agar anak anak nya jago main bola. Saya siap jadi yang pertama ikut program itu‼️,1833015087466270973,,erickthohir,in,,0,0,0,https://x.com/ryan_papaazzam/status/1833015087466270973,2606134873,ryan_papaazzam
1832587725620572320,Mon Sep 09 04:27:23 +0000 2024,0,@pray_thekid lebih baik begini namanya juga industri sepak bola. naturalisasi juga gak sembarangan harus punya darah Indonesia. daripada isinya lokal semua tapi titipan kita mau yg maju sepakbolanya bukan pejabatnya.,1832999217260069365,,pray_thekid,in,"Gunungkidul, Yogyakarta",0,0,0,https://x.com/alfiandietra/status/1832999217260069365,1134117068,alfiandietra
1832587725620572320,Mon Sep 09 04:11:19 +0000 2024,0,@pray_thekid Sedih Krn kebanyakan pemain naturalisasi bukan asli pribumi...sekian bxk penduduk Indonesia masa GK da yg jago main bola..,1832995171874566500,,pray_thekid,in,,0,0,0,https://x.com/76Igbw/status/1832995171874566500,1552211206760714245,76Igbw
