F,full_text,in_reply_to_screen_name,id_str,username,clean_text,"Labeling          (1: Negatif,                2: Netral,                   3: Positif)",Column 8
01-09-2024,Deretan Pemain Naturalisasi Yang Tersisih Dari Skuad Timnas Indonesia - https://t.co/fBGMxRXyLH https://t.co/1gZ220fizJ,,1830363645710311822,PersibTea1933,Deretan Pemain Naturalisasi Yang Tersisih Dari Skuad Timnas Indonesia,2,
01-09-2024,@LFC Bang @VirgilvDijk Aya bejana bade naturalisasi ka timnas Indonesia leres eta teh bang??,LFC,1830299047758033029,RiriAldi2,Bang  Aya bejana bade naturalisasi ka timnas Indonesia leres eta teh bang,2,
01-09-2024,Ratu Tisha Erick Thohir PSSI Timnas Indonesia @TimnasIndonesia Segera naturalisasi: Dion Markx Tim Geypen Sacha Deighton Demyan Oosterhuis Hinoke Mauresmo Sem Yvel JANGAN KELIRU kirim skuad ke Qualifikasi PA U-20 spt yg ke Seoul EOUC 2024 The best Timnas U-20 utk QPA U-20 https://t.co/Ar2KclnRh2,,1830235859385471470,Mat16_16,Ratu Tisha Erick Thohir PSSI Timnas Indonesia  Segera naturalisasi Dion Markx Tim Geypen Sacha Deighton Demyan Oosterhuis Hinoke Mauresmo Sem Yvel JANGAN KELIRU kirim skuad ke Qualifikasi PA U spt yg ke Seoul EOUC  The best Timnas U utk QPA U,2,
01-09-2024,Curhatan Pilu Pemain Naturalisasi Timnas Indonesia Jelang Lawan Arab Saudi di Kualifikasi Piala Dunia 2026: Dengan Perasaan Sedih Saya Ingin...: Salah satu pemain naturalisasi mengungkapkan curhatan pilu jelang Timnas Indonesia melawan Arab Saudi di https://t.co/LIbGz1HF61 https://t.co/dluL3TNdko,,1830169555391693181,tvOneNews,Curhatan Pilu Pemain Naturalisasi Timnas Indonesia Jelang Lawan Arab Saudi di Kualifikasi Piala Dunia  Dengan Perasaan Sedih Saya Ingin Salah satu pemain naturalisasi mengungkapkan curhatan pilu jelang Timnas Indonesia melawan Arab Saudi di,2,
01-09-2024,Shin Tae-yong Full Senyum! Pemain Naturalisasi Timnas Indonesia Ini Tampil Menggila Jelang Lawan Arab Saudi di Kualifikasi Piala Dunia 2026: Pemain naturalisasi Timnas Indonesia Calvin Verdonk tampil menggila bersama klubnya NEC Nijmegen jelang melawan https://t.co/EPYGKNeSDU https://t.co/sIFiWZdvEM,,1830033247646167545,tvOneNews,Shin Taeyong Full Senyum Pemain Naturalisasi Timnas Indonesia Ini Tampil Menggila Jelang Lawan Arab Saudi di Kualifikasi Piala Dunia  Pemain naturalisasi Timnas Indonesia Calvin Verdonk tampil menggila bersama klubnya NEC Nijmegen jelang melawan,3,
01-09-2024,@SiaranBolaLive Indonesia sangat butuh pemain keturunan,SiaranBolaLive,1830249175268925863,PetaniIndo96016,Indonesia sangat butuh pemain keturunan,3,
01-09-2024,@idextratime @bliblidotcom Indonesia bisa tanpa pemain keturunan Halah tai kucing,idextratime,1830222229914923099,HeriWidayanto5,Indonesia bisa tanpa pemain keturunan Halah tai kucing,3,
01-09-2024,Sini lu yang ngomong Indonesia bisa tanpa pemain keturunan sekarang lu liat aja u20 ga ada welber sama Raven bener-bener kacau alias bapuk #TimnasDay,,1830204720704868862,sunandmoonsunoo,Sini lu yang ngomong Indonesia bisa tanpa pemain keturunan sekarang lu liat aja u ga ada welber sama Raven benerbener kacau alias bapuk TimnasDay,3,
01-09-2024,@neohistoria_id Beberapa pemain Belanda dengan kelahiran/keturunan orang Indonesia,neohistoria_id,1830061723338047966,ajidsubagyo,Beberapa pemain Belanda dengan kelahiranketurunan orang Indonesia,2,
02-09-2024,Kedubes Belanda Buka Suara Soal Kabar Pemain Naturalisasi Timnas Indonesia Belum Kembalikan Paspor https://t.co/OplHXCNvZa,,1830637936951365957,MSNindonesia,Kedubes Belanda Buka Suara Soal Kabar Pemain Naturalisasi Timnas Indonesia Belum Kembalikan Paspor,2,
02-09-2024,Kedubes Belanda Buka Suara Soal Kabar Pemain Naturalisasi Timnas Indonesia Belum Kembalikan Paspor https://t.co/LT8hhxfrPk #TempoBola,,1830611188088189073,tempodotco,Kedubes Belanda Buka Suara Soal Kabar Pemain Naturalisasi Timnas Indonesia Belum Kembalikan Paspor  TempoBola,2,
02-09-2024,Kurang 1 Bintang Naturalisasi Timnas Indonesia Sudah Komplet Jelang Hadapi Arab Saudi di Kualifikasi Piala Dunia 2026: Skuad Timnas Indonesia dipastikan hampir komplet dan full tim jelang hadapi Arab Saudi di partai perdana babak Kualifikasi Piala Dunia https://t.co/vykMbOJaLR https://t.co/HRi1f0i3zE,,1830562475433214397,tvOneNews,Kurang  Bintang Naturalisasi Timnas Indonesia Sudah Komplet Jelang Hadapi Arab Saudi di Kualifikasi Piala Dunia  Skuad Timnas Indonesia dipastikan hampir komplet dan full tim jelang hadapi Arab Saudi di partai perdana babak Kualifikasi Piala Dunia,2,
02-09-2024,Calon Naturalisasi Grade A Malaysia Dipermalukan Klub yang Diperkuat Pemain Keturunan Indonesia di Liga Belanda: Dikabarkan bakal jadi naturalisasi baru Timnas Malaysia pemain grade A Eropa ini baru saja apes dipermalukan klub yang diperkuat pemain https://t.co/YYz7fEd8xw https://t.co/7Z2vsZnu1E,,1830548034926641432,tvOneNews,Calon Naturalisasi Grade A Malaysia Dipermalukan Klub yang Diperkuat Pemain Keturunan Indonesia di Liga Belanda Dikabarkan bakal jadi naturalisasi baru Timnas Malaysia pemain grade A Eropa ini baru saja apes dipermalukan klub yang diperkuat pemain,2,
