conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,case_folding,tokenize,sentiment
1833386362407686640,Tue Sep 10 23:27:19 +0000 2024,0,@aldibawazier_ setuju naturalisasi jangan hanya pemain sepak bola. dari presiden wapres menteri sampe kepala desa sebaiknya naturalisasi aja krn mereka lebih baik membawa indonesia emas 2045 ,1833648479400595498,,aldibawazier_,in,,0,0,0,https://x.com/AkunanSaya/status/1833648479400595498,1425023300023984134,AkunanSaya, setuju naturalisasi jangan hanya pemain sepak bola dari presiden wapres menteri sampe kepala desa sebaiknya naturalisasi aja krn mereka lebih baik membawa indonesia emas  , setuju naturalisasi jangan hanya pemain sepak bola dari presiden wapres menteri sampe kepala desa sebaiknya naturalisasi aja krn mereka lebih baik membawa indonesia emas  ,"['setuju', 'naturalisasi', 'jangan', 'hanya', 'pemain', 'sepak', 'bola', 'dari', 'presiden', 'wapres', 'menteri', 'sampe', 'kepala', 'desa', 'sebaiknya', 'naturalisasi', 'aja', 'krn', 'mereka', 'lebih', 'baik', 'membawa', 'indonesia', 'emas']",3
1833644646221943005,Tue Sep 10 23:12:05 +0000 2024,0,Performa 10 Pemain Naturalisasi saat Timnas Indonesia Imbangi Australia: Maarten Paes dan Calvin Verdonk Tangguh Nathan Tjoe A-On Bisa Yuk! https://t.co/9RAlOtRMdy,1833644646221943005,,,in,Indonesia,0,0,0,https://x.com/bolacomID/status/1833644646221943005,1486284086,bolacomID,Performa  Pemain Naturalisasi saat Timnas Indonesia Imbangi Australia Maarten Paes dan Calvin Verdonk Tangguh Nathan Tjoe AOn Bisa Yuk ,performa  pemain naturalisasi saat timnas indonesia imbangi australia maarten paes dan calvin verdonk tangguh nathan tjoe aon bisa yuk ,"['performa', 'pemain', 'naturalisasi', 'saat', 'timnas', 'indonesia', 'imbangi', 'australia', 'maarten', 'paes', 'dan', 'calvin', 'verdonk', 'tangguh', 'nathan', 'tjoe', 'aon', 'bisa', 'yuk']",3
1833627276950573238,Tue Sep 10 22:03:04 +0000 2024,39,Ini Dia Cara Indonesia BIKIN FRUSTRASI Australia! | Box2Box Football Show #8 https://t.co/XysgvG2M0s - Pemain andalan Shin Tae-yong itu-itu aja ? - Masalah rumput GBK yang berulan - Pertahanan rapat Timnas Indonesia dan peran Maarten Paes - Lagi-lagi debat soal naturalisasi vs https://t.co/IaUyDNqVKX,1833627276950573238,https://pbs.twimg.com/media/GXJaSR_bEAAtunm.jpg,,in,Indonesia,1,6,9,https://x.com/Box2BoxBola/status/1833627276950573238,1956656786,Box2BoxBola,Ini Dia Cara Indonesia BIKIN FRUSTRASI Australia  BoxBox Football Show    Pemain andalan Shin Taeyong ituitu aja   Masalah rumput GBK yang berulan  Pertahanan rapat Timnas Indonesia dan peran Maarten Paes  Lagilagi debat soal naturalisasi vs ,ini dia cara indonesia bikin frustrasi australia  boxbox football show    pemain andalan shin taeyong ituitu aja   masalah rumput gbk yang berulan  pertahanan rapat timnas indonesia dan peran maarten paes  lagilagi debat soal naturalisasi vs ,"['ini', 'dia', 'cara', 'indonesia', 'bikin', 'frustrasi', 'australia', 'boxbox', 'football', 'show', 'pemain', 'andalan', 'shin', 'taeyong', 'ituitu', 'aja', 'masalah', 'rumput', 'gbk', 'yang', 'berulan', 'pertahanan', 'rapat', 'timnas', 'indonesia', 'dan', 'peran', 'maarten', 'paes', 'lagilagi', 'debat', 'soal', 'naturalisasi', 'vs']",2
1833612133290168532,Tue Sep 10 21:02:54 +0000 2024,0,Dear @PSSI Tanpa Naturalisasi 🇮🇩 tidak akan sampai di ronde 4. Naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di Indonesia siapa lagi kalau bukan PSSI. Silahkan sambil berbenah juga! Atau bikin program perkawinan gratis lokal dan Eropa supaya anaknya,1833612133290168532,,,in,,0,1,0,https://x.com/mekanasirah/status/1833612133290168532,1655265184238403585,mekanasirah,Dear  Tanpa Naturalisasi  tidak akan sampai di ronde  Naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di Indonesia siapa lagi kalau bukan PSSI Silahkan sambil berbenah juga Atau bikin program perkawinan gratis lokal dan Eropa supaya anaknya,dear  tanpa naturalisasi  tidak akan sampai di ronde  naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di indonesia siapa lagi kalau bukan pssi silahkan sambil berbenah juga atau bikin program perkawinan gratis lokal dan eropa supaya anaknya,"['dear', 'tanpa', 'naturalisasi', 'tidak', 'akan', 'sampai', 'di', 'ronde', 'naturalisasi', 'merupakan', 'bukti', 'bobroknya', 'pembinaan', 'dini', 'dari', 'pengurus', 'bola', 'di', 'indonesia', 'siapa', 'lagi', 'kalau', 'bukan', 'pssi', 'silahkan', 'sambil', 'berbenah', 'juga', 'atau', 'bikin', 'program', 'perkawinan', 'gratis', 'lokal', 'dan', 'eropa', 'supaya', 'anaknya']",1
1833436369051652206,Tue Sep 10 20:36:13 +0000 2024,0,@Box2boxID @Box2BoxBola Bangga sama pemain naturalisasi? Tutup saja liga sepak bola di Indonesia.,1833605420453437731,,Box2boxID,in,,0,0,0,https://x.com/jayusman92/status/1833605420453437731,1257887251616301060,jayusman92,  Bangga sama pemain naturalisasi Tutup saja liga sepak bola di Indonesia,  bangga sama pemain naturalisasi tutup saja liga sepak bola di indonesia,"['bangga', 'sama', 'pemain', 'naturalisasi', 'tutup', 'saja', 'liga', 'sepak', 'bola', 'di', 'indonesia']",1
1833166193274040789,Tue Sep 10 19:23:21 +0000 2024,0,@Tokopaediii @Okleantos @_BangFu ya ini salah satunya grasroot tapi apa instan? ya engga proses nya pasti lama kenapa langkah naturalisasi yg diambil? karna hasilnya instan pecinta bola indonesia kan pengen menang nya sekarang bukan nunggu 20/30 tahun lagi jadi harus sesuai sama kebutuhan nya balik lg,1833587082260058289,,Tokopaediii,in,Monaco,0,0,0,https://x.com/zildgeean/status/1833587082260058289,730811030,zildgeean,   ya ini salah satunya grasroot tapi apa instan ya engga proses nya pasti lama kenapa langkah naturalisasi yg diambil karna hasilnya instan pecinta bola indonesia kan pengen menang nya sekarang bukan nunggu  tahun lagi jadi harus sesuai sama kebutuhan nya balik lg,   ya ini salah satunya grasroot tapi apa instan ya engga proses nya pasti lama kenapa langkah naturalisasi yg diambil karna hasilnya instan pecinta bola indonesia kan pengen menang nya sekarang bukan nunggu  tahun lagi jadi harus sesuai sama kebutuhan nya balik lg,"['ya', 'ini', 'salah', 'satunya', 'grasroot', 'tapi', 'apa', 'instan', 'ya', 'engga', 'proses', 'nya', 'pasti', 'lama', 'kenapa', 'langkah', 'naturalisasi', 'yg', 'diambil', 'karna', 'hasilnya', 'instan', 'pecinta', 'bola', 'indonesia', 'kan', 'pengen', 'menang', 'nya', 'sekarang', 'bukan', 'nunggu', 'tahun', 'lagi', 'jadi', 'harus', 'sesuai', 'sama', 'kebutuhan', 'nya', 'balik', 'lg']",3
1833552285118697984,Tue Sep 10 17:05:05 +0000 2024,1,Lil... @cholilnafis mau tanya nih... Iseng2 aja knp pemain2 sepak bola naturalisasi diambilnya dari negara kapir yg bekas penjajah pula dimana sekte be'olwi benci bgt sampe klaim semua pahlawan Indonesia tuh dari sekte mereka! Knp bukan turunan dari jazirah Arab sana ya? ,1833552285118697984,,,in,Kandahar,0,0,0,https://x.com/Rizieq_Sangean/status/1833552285118697984,172158648,Rizieq_Sangean,Lil  mau tanya nih Iseng aja knp pemain sepak bola naturalisasi diambilnya dari negara kapir yg bekas penjajah pula dimana sekte beolwi benci bgt sampe klaim semua pahlawan Indonesia tuh dari sekte mereka Knp bukan turunan dari jazirah Arab sana ya ,lil  mau tanya nih iseng aja knp pemain sepak bola naturalisasi diambilnya dari negara kapir yg bekas penjajah pula dimana sekte beolwi benci bgt sampe klaim semua pahlawan indonesia tuh dari sekte mereka knp bukan turunan dari jazirah arab sana ya ,"['lil', 'mau', 'tanya', 'nih', 'iseng', 'aja', 'knp', 'pemain', 'sepak', 'bola', 'naturalisasi', 'diambilnya', 'dari', 'negara', 'kapir', 'yg', 'bekas', 'penjajah', 'pula', 'dimana', 'sekte', 'beolwi', 'benci', 'bgt', 'sampe', 'klaim', 'semua', 'pahlawan', 'indonesia', 'tuh', 'dari', 'sekte', 'mereka', 'knp', 'bukan', 'turunan', 'dari', 'jazirah', 'arab', 'sana', 'ya']",2
1833436278970585300,Tue Sep 10 16:59:29 +0000 2024,4,@panjiraden Masalahnya bukan pemain naturalisasinya. Tp ya indonesia atau federasi gagal menciptakan atau develop pemain bagus. Australia contohnya kebanyakan naturalisasi tp ya mereka tumbuh bermain bola di Australia. Artinya federasinya sukses menciptakan environment sepakbola yang baik,1833550877589967026,,panjiraden,in,Indonesia,0,1,1,https://x.com/Adriaankun/status/1833550877589967026,65637484,Adriaankun, Masalahnya bukan pemain naturalisasinya Tp ya indonesia atau federasi gagal menciptakan atau develop pemain bagus Australia contohnya kebanyakan naturalisasi tp ya mereka tumbuh bermain bola di Australia Artinya federasinya sukses menciptakan environment sepakbola yang baik, masalahnya bukan pemain naturalisasinya tp ya indonesia atau federasi gagal menciptakan atau develop pemain bagus australia contohnya kebanyakan naturalisasi tp ya mereka tumbuh bermain bola di australia artinya federasinya sukses menciptakan environment sepakbola yang baik,"['masalahnya', 'bukan', 'pemain', 'naturalisasinya', 'tp', 'ya', 'indonesia', 'atau', 'federasi', 'gagal', 'menciptakan', 'atau', 'develop', 'pemain', 'bagus', 'australia', 'contohnya', 'kebanyakan', 'naturalisasi', 'tp', 'ya', 'mereka', 'tumbuh', 'bermain', 'bola', 'di', 'australia', 'artinya', 'federasinya', 'sukses', 'menciptakan', 'environment', 'sepakbola', 'yang', 'baik']",2
1833500536387342751,Tue Sep 10 13:39:27 +0000 2024,0,Nonton bola. Pemain Indonesia naturalisasi semua Kerajaan dan kerjaan E.T semprul,1833500536387342751,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/mhmfikri/status/1833500536387342751,255536573,mhmfikri,Nonton bola Pemain Indonesia naturalisasi semua Kerajaan dan kerjaan ET semprul,nonton bola pemain indonesia naturalisasi semua kerajaan dan kerjaan et semprul,"['nonton', 'bola', 'pemain', 'indonesia', 'naturalisasi', 'semua', 'kerajaan', 'dan', 'kerjaan', 'et', 'semprul']",1
1833386362407686640,Tue Sep 10 10:54:54 +0000 2024,1,@aldibawazier_ Tidak. Andai saja Indonesia menganut sistem paspor bisa ganda maka tdk akan ada istilah naturalisasi untuk diaspora. Suruh mereka memaknai arti naturalisasi spy paham ?,1833459126292386042,,aldibawazier_,in,,0,0,0,https://x.com/Nandang32613279/status/1833459126292386042,979417406123601920,Nandang32613279, Tidak Andai saja Indonesia menganut sistem paspor bisa ganda maka tdk akan ada istilah naturalisasi untuk diaspora Suruh mereka memaknai arti naturalisasi spy paham , tidak andai saja indonesia menganut sistem paspor bisa ganda maka tdk akan ada istilah naturalisasi untuk diaspora suruh mereka memaknai arti naturalisasi spy paham ,"['tidak', 'andai', 'saja', 'indonesia', 'menganut', 'sistem', 'paspor', 'bisa', 'ganda', 'maka', 'tdk', 'akan', 'ada', 'istilah', 'naturalisasi', 'untuk', 'diaspora', 'suruh', 'mereka', 'memaknai', 'arti', 'naturalisasi', 'spy', 'paham']",2
