created_at,favorite_count,full_text,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sentiment,username_in_teks,hastag_in_teks,teks_new,teks_slang1,teks_slang2,teks_slang3,teks_rapih,clean_teks,stem_teks
Tue Sep 10 23:27:19 +0000 2024,0,@aldibawazier_ setuju naturalisasi jangan hanya pemain sepak bola. dari presiden wapres menteri sampe kepala desa sebaiknya naturalisasi aja krn mereka lebih baik membawa indonesia emas 2045 ,,0,0,0,https://x.com/AkunanSaya/status/1833648479400595498,1425023300023984134,AkunanSaya,3,['aldibawazier_'],[],setuju naturalisasi jangan hanya pemain sepak bola. dari presiden wapres menteri sampe kepala desa sebaiknya naturalisasi aja krn mereka lebih baik membawa indonesia emas 2045,setuju naturalisasi jangan hanya pemain sepak bola. dari presiden wapres menteri sampe kepala desa sebaiknya naturalisasi aja krn mereka lebih baik membawa indonesia emas 2045,setuju naturalisasi jangan hanya pemain sepak bola. dari presiden wakil presiden menteri sampai kepala desa sebaiknya naturalisasi saja karena mereka lebih baik membawa indonesia berjaya 2045,setuju naturalisasi jangan hanya pemain sepak bola. dari presiden wakil presiden menteri sampai kepala desa sebaiknya naturalisasi saja karena mereka lebih baik membawa indonesia berjaya ,setuju naturalisasi jangan hanya pemain sepak bola  dari presiden wakil presiden menteri sampai kepala desa sebaiknya naturalisasi saja karena mereka lebih baik membawa indonesia berjaya,setuju naturalisasi pemain sepak bola presiden wakil presiden menteri kepala desa naturalisasi membawa indonesia berjaya,tuju naturalisasi main sepak bola presiden wakil presiden menteri kepala desa naturalisasi bawa indonesia jaya
Tue Sep 10 23:12:05 +0000 2024,0,Performa 10 Pemain Naturalisasi saat Timnas Indonesia Imbangi Australia: Maarten Paes dan Calvin Verdonk Tangguh Nathan Tjoe A-On Bisa Yuk! https://t.co/9RAlOtRMdy,Indonesia,0,0,0,https://x.com/bolacomID/status/1833644646221943005,1486284086,bolacomID,3,[],[],Performa 10 Pemain Naturalisasi saat Timnas Indonesia Imbangi Australia: Maarten Paes dan Calvin Verdonk Tangguh Nathan Tjoe A-On Bisa Yuk!  ,Performa 10 Pemain Naturalisasi saat Timnas Indonesia Imbangi Australia: Maarten Paes dan Calvin Verdonk Tangguh Nathan Tjoe A-On Bisa Yuk!  ,Performa 10 Pemain Naturalisasi saat Timnas Indonesia Imbangi Australia: Maarten Paes dan Calvin Verdonk Tangguh Nathan Tjoe A-On Bisa Yuk!  ,performa  pemain naturalisasi saat timnas indonesia imbangi australia: maarten paes dan calvin verdonk tangguh nathan tjoe a-on bisa ayo!  ,performa  pemain naturalisasi saat timnas indonesia imbangi australia  maarten paes dan calvin verdonk tangguh nathan tjoe a on bisa ayo ,performa pemain naturalisasi timnas indonesia imbangi australia maarten paes calvin verdonk tangguh nathan tjoe ayo,performa main naturalisasi timnas indonesia imbang australia maarten paes calvin verdonk tangguh nathan tjoe ayo
Tue Sep 10 22:03:04 +0000 2024,39,Ini Dia Cara Indonesia BIKIN FRUSTRASI Australia! | Box2Box Football Show #8 https://t.co/XysgvG2M0s - Pemain andalan Shin Tae-yong itu-itu aja ? - Masalah rumput GBK yang berulan - Pertahanan rapat Timnas Indonesia dan peran Maarten Paes - Lagi-lagi debat soal naturalisasi vs https://t.co/IaUyDNqVKX,Indonesia,1,6,9,https://x.com/Box2BoxBola/status/1833627276950573238,1956656786,Box2BoxBola,2,[],['8'],Ini Dia Cara Indonesia BIKIN FRUSTRASI Australia! | Box2Box Football Show    - Pemain andalan Shin Tae-yong itu-itu aja ? - Masalah rumput GBK yang berulan - Pertahanan rapat Timnas Indonesia dan peran Maarten Paes - Lagi-lagi debat soal naturalisasi vs  ,Ini Dia Cara Indonesia BIKIN FRUSTRASI Australia! | Box2Box Football Show    - Pemain andalan Shin Tae-yong itu-itu aja ? - Masalah rumput GBK yang berulan - Pertahanan rapat Timnas Indonesia dan peran Maarten Paes - Lagi-lagi debat soal naturalisasi vs  ,Ini Dia Cara Indonesia BIKIN FRUSTRASI Australia! | Box2Box Football Show    - Pemain andalan Shin Tae-yong itu-itu saja ? - Masalah rumput GBK yang berlubang - Pertahanan rapat Timnas Indonesia dan peran Maarten Paes - Lagi-lagi debat soal naturalisasi melawan  ,ini dia cara indonesia membuat frustrasi australia! | box2box sepak bola show    - pemain andalan shin tae-yong itu-itu saja ? - masalah rumput gelora bung karno yang berlubang - pertahanan rapat timnas indonesia dan peran maarten paes - lagi-lagi debat soal naturalisasi melawan  ,ini dia cara indonesia membuat frustrasi australia    box2box sepak bola show      pemain andalan shin tae yong itu itu saja     masalah rumput gelora bung karno yang berlubang   pertahanan rapat timnas indonesia dan peran maarten paes   lagi lagi debat soal naturalisasi melawan,indonesia frustrasi australia box2box sepak bola show pemain andalan shin tae yong rumput gelora karno berlubang pertahanan rapat timnas indonesia peran maarten paes debat naturalisasi melawan,indonesia frustrasi australia box2box sepak bola show main andal shin tae yong rumput gelora karno lubang tahan rapat timnas indonesia peran maarten paes debat naturalisasi lawan
Tue Sep 10 21:02:54 +0000 2024,0,Dear @PSSI Tanpa Naturalisasi 🇮🇩 tidak akan sampai di ronde 4. Naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di Indonesia siapa lagi kalau bukan PSSI. Silahkan sambil berbenah juga! Atau bikin program perkawinan gratis lokal dan Eropa supaya anaknya,,0,1,0,https://x.com/mekanasirah/status/1833612133290168532,1655265184238403585,mekanasirah,1,['PSSI'],[],Dear  Tanpa Naturalisasi  tidak akan sampai di ronde 4. Naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di Indonesia siapa lagi kalau bukan PSSI. Silahkan sambil berbenah juga! Atau bikin program perkawinan gratis lokal dan Eropa supaya anaknya,Dear  Tanpa Naturalisasi  tidak akan sampai di ronde 4. Naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di Indonesia siapa lagi kalau bukan PSSI. Silahkan sambil berbenah juga! Atau bikin program perkawinan gratis lokal dan Eropa supaya anaknya,Dear  Tanpa Naturalisasi  tidak akan sampai di ronde 4. Naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di Indonesia siapa lagi kalau bukan PSSI. Silahkan sambil memperbaiki juga! Atau membuat program perkawinan gratis lokal dan Eropa agar anaknya,dear  tanpa naturalisasi  tidak akan sampai di ronde . naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di indonesia siapa lagi kalau bukan pssi. silahkan sambil memperbaiki juga! atau membuat program perkawinan gratis lokal dan eropa agar anaknya,dear  tanpa naturalisasi  tidak akan sampai di ronde   naturalisasi merupakan bukti bobroknya pembinaan dini dari pengurus bola di indonesia siapa lagi kalau bukan pssi  silahkan sambil memperbaiki juga  atau membuat program perkawinan gratis lokal dan eropa agar anaknya,dear naturalisasi ronde naturalisasi bukti bobroknya pembinaan pengurus bola indonesia pssi silahkan memperbaiki program perkawinan gratis lokal eropa anaknya,dear naturalisasi ronde naturalisasi bukti bobrok bina urus bola indonesia pssi silah baik program kawin gratis lokal eropa anak
Tue Sep 10 20:36:13 +0000 2024,0,@Box2boxID @Box2BoxBola Bangga sama pemain naturalisasi? Tutup saja liga sepak bola di Indonesia.,,0,0,0,https://x.com/jayusman92/status/1833605420453437731,1257887251616301060,jayusman92,1,"['Box2boxID', 'Box2BoxBola']",[],Bangga sama pemain naturalisasi? Tutup saja liga sepak bola di Indonesia.,Bangga sama pemain naturalisasi? Tutup saja liga sepak bola di Indonesia.,Bangga sama pemain naturalisasi? Tutup saja liga sepak bola di Indonesia.,bangga sama pemain naturalisasi? tutup saja liga sepak bola di indonesia.,bangga sama pemain naturalisasi  tutup saja liga sepak bola di indonesia ,bangga pemain naturalisasi tutup liga sepak bola indonesia,bangga main naturalisasi tutup liga sepak bola indonesia
Tue Sep 10 19:23:21 +0000 2024,0,@Tokopaediii @Okleantos @_BangFu ya ini salah satunya grasroot tapi apa instan? ya engga proses nya pasti lama kenapa langkah naturalisasi yg diambil? karna hasilnya instan pecinta bola indonesia kan pengen menang nya sekarang bukan nunggu 20/30 tahun lagi jadi harus sesuai sama kebutuhan nya balik lg,Monaco,0,0,0,https://x.com/zildgeean/status/1833587082260058289,730811030,zildgeean,3,"['Tokopaediii', 'Okleantos', '_BangFu']",[],ya ini salah satunya grasroot tapi apa instan? ya engga proses nya pasti lama kenapa langkah naturalisasi yg diambil? karna hasilnya instan pecinta bola indonesia kan pengen menang nya sekarang bukan nunggu 20/30 tahun lagi jadi harus sesuai sama kebutuhan nya balik lg,ya ini salah satunya grasroot tapi apa instan? ya engga proses nya pasti lama kenapa langkah naturalisasi yg diambil? karna hasilnya instan pecinta bola indonesia kan pengen menang nya sekarang bukan nunggu 20/30 tahun lagi jadi harus sesuai sama kebutuhan nya balik lg,iya ini salah satunya grasroot tapi apa cepat? iya tidak proses nya pasti lama kenapa langkah naturalisasi yang diambil? karena hasilnya cepat penggemar bola indonesia akan ingin menang nya sekarang bukan menunggu 20/30 tahun lagi menjadi harus sesuai sama kebutuhan nya balik lagi,iya ini salah satunya grasroot tapi apa cepat? iya tidak proses nya pasti lama kenapa langkah naturalisasi yang diambil? karena hasilnya cepat penggemar bola indonesia akan ingin menang nya sekarang bukan menunggu / tahun lagi menjadi harus sesuai sama kebutuhan nya balik lagi,iya ini salah satunya grasroot tapi apa cepat  iya tidak proses nya pasti lama kenapa langkah naturalisasi yang diambil  karena hasilnya cepat penggemar bola indonesia akan ingin menang nya sekarang bukan menunggu   tahun lagi menjadi harus sesuai sama kebutuhan nya balik lagi,iya salah satunya grasroot cepat iya proses nya langkah naturalisasi diambil hasilnya cepat penggemar bola indonesia menang nya menunggu sesuai kebutuhan nya,iya salah satu grasroot cepat iya proses nya langkah naturalisasi ambil hasil cepat gemar bola indonesia menang nya tunggu sesuai butuh nya
Tue Sep 10 17:05:05 +0000 2024,1,Lil... @cholilnafis mau tanya nih... Iseng2 aja knp pemain2 sepak bola naturalisasi diambilnya dari negara kapir yg bekas penjajah pula dimana sekte be'olwi benci bgt sampe klaim semua pahlawan Indonesia tuh dari sekte mereka! Knp bukan turunan dari jazirah Arab sana ya? ,Kandahar,0,0,0,https://x.com/Rizieq_Sangean/status/1833552285118697984,172158648,Rizieq_Sangean,2,['cholilnafis'],[],Lil...  mau tanya nih... Iseng2 aja knp pemain2 sepak bola naturalisasi diambilnya dari negara kapir yg bekas penjajah pula dimana sekte be'olwi benci bgt sampe klaim semua pahlawan Indonesia tuh dari sekte mereka! Knp bukan turunan dari jazirah Arab sana ya?,Lil...  mau tanya nih... Iseng2 aja knp pemain2 sepak bola naturalisasi diambilnya dari negara kapir yg bekas penjajah pula dimana sekte be'olwi benci bgt sampe klaim semua pahlawan Indonesia tuh dari sekte mereka! Knp bukan turunan dari jazirah Arab sana ya?,Lil...  ingin tanya ini... Iseng2 saja kenapa pemain-pemain sepak bola naturalisasi diambilnya dari negara buruk yang bekas penjajah pula dimana pengikut be'olwi benci banget sampai klaim semua pahlawan Indonesia itu dari pengikut mereka! Knp bukan keturunan dari jazirah Arab sana iya?,lil...  ingin tanya ini... iseng saja kenapa pemain-pemain sepak bola naturalisasi diambilnya dari negara buruk yang bekas penjajah pula dimana pengikut be'olwi benci banget sampai klaim semua pahlawan indonesia itu dari pengikut mereka! kenapa bukan keturunan dari jazirah arab sana iya?,lil     ingin tanya ini    iseng saja kenapa pemain pemain sepak bola naturalisasi diambilnya dari negara buruk yang bekas penjajah pula dimana pengikut be olwi benci banget sampai klaim semua pahlawan indonesia itu dari pengikut mereka  kenapa bukan keturunan dari jazirah arab sana iya ,lil iseng pemain pemain sepak bola naturalisasi diambilnya negara buruk bekas penjajah pengikut olwi benci banget klaim pahlawan indonesia pengikut keturunan jazirah arab iya,lil iseng main main sepak bola naturalisasi ambil negara buruk bekas jajah ikut olwi benci banget klaim pahlawan indonesia ikut turun jazirah arab iya
Tue Sep 10 16:59:29 +0000 2024,4,@panjiraden Masalahnya bukan pemain naturalisasinya. Tp ya indonesia atau federasi gagal menciptakan atau develop pemain bagus. Australia contohnya kebanyakan naturalisasi tp ya mereka tumbuh bermain bola di Australia. Artinya federasinya sukses menciptakan environment sepakbola yang baik,Indonesia,0,1,1,https://x.com/Adriaankun/status/1833550877589967026,65637484,Adriaankun,2,['panjiraden'],[],Masalahnya bukan pemain naturalisasinya. Tp ya indonesia atau federasi gagal menciptakan atau develop pemain bagus. Australia contohnya kebanyakan naturalisasi tp ya mereka tumbuh bermain bola di Australia. Artinya federasinya sukses menciptakan environment sepakbola yang baik,Masalahnya bukan pemain naturalisasinya. Tp ya indonesia atau federasi gagal menciptakan atau develop pemain bagus. Australia contohnya kebanyakan naturalisasi tp ya mereka tumbuh bermain bola di Australia. Artinya federasinya sukses menciptakan environment sepakbola yang baik,Masalahnya bukan pemain naturalisasinya. Tp iya indonesia atau federasi gagal menciptakan atau develop pemain bagus. Australia contohnya kebanyakan naturalisasi tapi iya mereka tumbuh bermain bola di Australia. Artinya federasinya sukses menciptakan environment sepak bola yang baik,masalahnya bukan pemain naturalisasinya. tapi iya indonesia atau federasi gagal menciptakan atau develop pemain bagus. australia contohnya kebanyakan naturalisasi tapi iya mereka tumbuh bermain bola di australia. artinya federasinya sukses menciptakan environment sepak bola yang baik,masalahnya bukan pemain naturalisasinya  tapi iya indonesia atau federasi gagal menciptakan atau develop pemain bagus  australia contohnya kebanyakan naturalisasi tapi iya mereka tumbuh bermain bola di australia  artinya federasinya sukses menciptakan environment sepak bola yang baik,pemain naturalisasinya iya indonesia federasi gagal menciptakan develop pemain bagus australia contohnya kebanyakan naturalisasi iya tumbuh bermain bola australia federasinya sukses menciptakan environment sepak bola,main naturalisasi iya indonesia federasi gagal cipta develop main bagus australia contoh banyak naturalisasi iya tumbuh main bola australia federasi sukses cipta environment sepak bola
Tue Sep 10 13:39:27 +0000 2024,0,Nonton bola. Pemain Indonesia naturalisasi semua Kerajaan dan kerjaan E.T semprul,"Jakarta, Indonesia",0,0,0,https://x.com/mhmfikri/status/1833500536387342751,255536573,mhmfikri,1,[],[],Nonton bola. Pemain Indonesia naturalisasi semua Kerajaan dan kerjaan E.T semprul,Nonton bola. Pemain Indonesia naturalisasi semua Kerajaan dan kerjaan E.T semprul,Nonton bola. Pemain Indonesia naturalisasi semua Kerajaan dan kerjaan E.T semprul,menonton bola. pemain indonesia naturalisasi semua kerajaan dan kerjaan e.t semprul,menonton bola  pemain indonesia naturalisasi semua kerajaan dan kerjaan e t semprul,menonton bola pemain indonesia naturalisasi kerajaan kerjaan e semprul,tonton bola main indonesia naturalisasi raja kerja e semprul
Tue Sep 10 10:54:54 +0000 2024,1,@aldibawazier_ Tidak. Andai saja Indonesia menganut sistem paspor bisa ganda maka tdk akan ada istilah naturalisasi untuk diaspora. Suruh mereka memaknai arti naturalisasi spy paham ?,,0,0,0,https://x.com/Nandang32613279/status/1833459126292386042,979417406123601920,Nandang32613279,2,['aldibawazier_'],[],Tidak. Andai saja Indonesia menganut sistem paspor bisa ganda maka tdk akan ada istilah naturalisasi untuk diaspora. Suruh mereka memaknai arti naturalisasi spy paham ?,Tidak. Andai saja Indonesia menganut sistem paspor bisa ganda maka tdk akan ada istilah naturalisasi untuk diaspora. Suruh mereka memaknai arti naturalisasi spy paham ?,Tidak. Andai saja Indonesia menganut sistem paspor bisa ganda maka tidak akan ada istilah naturalisasi untuk diaspora. Suruh mereka memaknai arti naturalisasi agar paham ?,tidak. andai saja indonesia menganut sistem paspor bisa ganda maka tidak akan ada istilah naturalisasi untuk diaspora. suruh mereka memaknai arti naturalisasi agar paham ?,tidak  andai saja indonesia menganut sistem paspor bisa ganda maka tidak akan ada istilah naturalisasi untuk diaspora  suruh mereka memaknai arti naturalisasi agar paham  ,andai indonesia menganut sistem paspor ganda istilah naturalisasi diaspora suruh memaknai arti naturalisasi paham,andai indonesia anut sistem paspor ganda istilah naturalisasi diaspora suruh makna arti naturalisasi paham
